match_key,match_id,n_players
2013-09-06|Norway|Cyprus,2261104.0,22
2013-09-06|Russia|Luxembourg,2262633.0,22
2013-09-06|Scotland|Belgium,2261472.0,22
2013-09-06|Serbia|Croatia,2261887.0,22
2013-09-06|Switzerland|Iceland,2261105.0,22
2013-09-06|Ukraine|San Marino,2262075.0,22
2013-09-06|Poland|Montenegro,2262077.0,22
2013-09-06|Romania|Hungary,2262657.0,22
2013-09-10|Andorra|Netherlands,2262104.0,22
2013-09-10|Armenia|Denmark,2262598.0,22
2013-09-10|Austria|Republic of Ireland,2261136.0,22
2013-09-10|Belarus|France,2262040.0,22
2013-09-10|Cyprus|Slovenia,2261106.0,22
2013-09-10|Faroe Islands|Germany,2261134.0,22
2013-09-10|Georgia|Finland,2262041.0,22
2013-09-10|Greece|Latvia,2261872.0,22
2013-09-10|Hungary|Estonia,2262105.0,22
2013-09-10|Iceland|Albania,2261108.0,22
2013-09-10|Italy|Czechia,2262599.0,22
2013-09-10|San Marino|Poland,2262079.0,22
2013-09-10|Luxembourg|Northern Ireland,2262635.0,22
2013-09-10|North Macedonia|Scotland,2261473.0,22
2013-09-10|Norway|Switzerland,2261107.0,22
2013-09-10|Kazakhstan|Sweden,2261135.0,22
2013-09-10|Russia|Israel,2262634.0,22
2013-09-10|Wales|Serbia,2261888.0,22
2013-09-10|Slovakia|Bosnia and Herzegovina,2262673.0,22
2013-10-11|Albania|Switzerland,2261110.0,22
2013-10-11|Andorra|Romania,2262109.0,22
2013-10-11|Azerbaijan|Northern Ireland,2262638.0,22
2013-10-11|Denmark|Italy,2262601.0,22
2013-10-11|Greece|Slovakia,2261873.0,22
2013-10-11|England|Montenegro,2262082.0,22
2013-10-11|Germany|Republic of Ireland,2261137.0,22
2013-10-11|Croatia|Belgium,2261890.0,22
2013-10-11|Bosnia and Herzegovina|Liechtenstein,2262676.0,22
2013-10-11|Ukraine|Poland,2262081.0,22
2013-10-11|Portugal|Israel,2262637.0,22
2013-10-11|Luxembourg|Russia,2262636.0,22
2013-10-11|Malta|Czechia,2262602.0,22
2013-10-11|Iceland|Cyprus,2261111.0,22
2013-10-11|Netherlands|Hungary,2262108.0,22
2013-10-11|Slovenia|Norway,2261109.0,22
2013-10-11|Spain|Belarus,2262042.0,22
2013-10-11|Sweden|Austria,2261138.0,22
2013-10-11|Wales|North Macedonia,2261889.0,22
2013-10-15|Belgium|Wales,2261891.0,22
2013-10-15|Bulgaria|Czechia,2262604.0,22
2013-10-15|Denmark|Malta,2262606.0,22
2013-10-15|England|Poland,2262083.0,22
2013-10-15|Faroe Islands|Austria,2261141.0,22
2013-10-15|Greece|Liechtenstein,2261874.0,22
2013-10-15|Hungary|Andorra,2262110.0,22
2013-10-15|Republic of Ireland|Kazakhstan,2261142.0,22
2013-10-15|Israel|Northern Ireland,2262640.0,22
2013-10-15|France|Finland,2262044.0,22
2013-10-15|Italy|Armenia,2262605.0,22
2013-10-15|Latvia|Slovakia,2262677.0,22
2013-10-15|Lithuania|Bosnia and Herzegovina,2262678.0,22
2013-10-15|Norway|Iceland,2261114.0,22
2013-10-15|Portugal|Luxembourg,2262641.0,22
2013-10-15|Romania|Estonia,2262111.0,22
2013-10-15|Scotland|Croatia,2261475.0,22
2013-10-15|Serbia|North Macedonia,2261892.0,22
2013-10-15|Spain|Georgia,2262043.0,22
2013-10-15|Sweden|Germany,2261140.0,22
2013-10-15|Switzerland|Slovenia,2261112.0,22
2013-10-15|San Marino|Ukraine,2262084.0,22
2013-10-15|Azerbaijan|Russia,2262639.0,22
